Layer	PeoplePromise	theme	SubTheme	FurtherSubTheme	routingownersecondary	Notes
1	We are compassionate and inclusive		Compassionate culture	-		
1	We are compassionate and inclusive		Compassionate leadership	-		
1	We are compassionate and inclusive		Diversity and equality	-		
1	We are compassionate and inclusive		Inclusion	-		
1	We are compassionate and inclusive		Other	-		
1	We are recognised and rewarded		Pay	Agenda for change / banding		
1	We are recognised and rewarded		Pay	Cost of living		
1	We are recognised and rewarded		Pay	Overtime / unpaid		
1	We are recognised and rewarded		Pay	Other		
1	We are recognised and rewarded		Valued	Non-acute vs acute		
1	We are recognised and rewarded		Valued	Non-clinical vs clinical		
1	We are recognised and rewarded		Valued	Other		
1	We each have a voice that counts		Autonomy and control	-		
1	We each have a voice that counts		Raising concerns	Acting on concerns / accountability		
1	We each have a voice that counts		Raising concerns	Safe to speak out		
1	We each have a voice that counts		Raising concerns	Other		
1	We are safe and healthy		Health and safety climate	Health and wellbeing		
1	We are safe and healthy		Health and safety climate	Staffing levels		
1	We are safe and healthy		Health and safety climate	Workload		
1	We are safe and healthy		Health and safety climate	Other		
1	We are safe and healthy		Burnout	-		
1	We are safe and healthy		Negative experiences	Abuse / bullying		
1	We are safe and healthy		Negative experiences	Illness		
1	We are always learning		Appraisals	-		
1	We are always learning		Development	-		
1	We work flexibly		Flexible working	-		
1	We work flexibly		Support for work-life balance	-		
1	We are a team		Team working	Team development		
1	We are a team		Team working	Working relationships		
1	We are a team		Line management	-		
1	We are a team		Other	-		
1	Staff engagement		Motivation	-		
1	Staff engagement		Involvement	-		
1	Staff engagement		Morale	-		
1	Morale		Thinking about leaving	-		
1	Morale		Work pressures	Resources		
1	Morale		Work pressures	Staffing levels		
1	Morale		Work pressures	Workload		
1	Morale		Stressors	-		
1	Other		Infrastructure and systems	-		
1	Other		Senior management	Decision making		
1	Other		Senior management	Engagement		
1	Other		Senior management	Hierarchy		
1	Other		Senior management	Other		
1	Other		NHS and government	-		
1	Other		Other	-		
2	-	Operational friction points	-	-		Topic?model derived
2	-	Localised cultural issues	-	-		Topic?model derived
2	-	New organisational risks	-	-		Topic?model derived
2	-	Policy/change?related themes	-	-		Topic?model derived
2	-	Unexpected positive signals	-	-		Topic?model derived
2	-	Unclassified emerging patterns	-	-		Topic?model derived
3	-	ability to act	-	-	CIRG	
3	-	absorbed in work	-	-	CIRG	
3	-	abuse	-	-	CIRG	
3	-	abuse from colleagues	-	-	CIRG	
3	-	abuse from managers	-	-	CIRG	
3	-	access to food	-	-	PERRG	
